GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
C. K-8 / 401 - 750,Morris,460,Boonton Twp,29044,0.17,0.804,0.023,0.002,0,0.001,9.5,55.1,96.5,0.1192
C. K-8 / 401 - 750,Morris,3090,Mendham Boro,32801,0.216,0.744,0.017,0.018,0,0.005,9.2,53.3,81.7,0.1163
C. K-8 / 401 - 750,Morris,3380,Morris Plains Boro,29245,0.211,0.769,0.013,0.004,0,0.003,9,57.2,95.3,0.1643
C. K-8 / 401 - 750,Morris,4480,Rockaway Boro,30306,0.283,0.567,0.031,0.025,0.062,0.032,10,62.6,110.2,0.1996
C. K-8 / 401 - 750,Morris,5770,Wharton Boro,27716,0.475,0.464,0.058,0,0,0.003,9.1,85.5,136.8,0.1901
C. K-8 / 401 - 750,Ocean,2500,Lakehurst Boro,27115,0.754,0.109,0.13,0,0,0.007,10.1,105.8,76.2,0.2178
C. K-8 / 401 - 750,Passaic,420,Bloomingdale Boro,30625,0.255,0.682,0.054,0.001,0,0.008,10.1,48,109.6,0.1287
C. K-8 / 401 - 750,Passaic,3640,North Haledon Boro,28259,0.249,0.7,0.048,0,0,0.003,9.9,64,96,0.1302
C. K-8 / 401 - 750,Somerset,240,Bedminster Twp,31602,0.181,0.786,0.031,0.002,0,0,8.4,38.9,112.8,0.1574
C. K-8 / 401 - 750,Somerset,1810,Green Brook Twp,27418,0.189,0.772,0.014,0.011,0.015,0,9.2,86.7,145.6,0.136
C. K-8 / 401 - 750,Somerset,4850,South Bound Brook,25865,0.47,0.438,0.053,0.001,0.038,0,10.9,72,108,0.1065
C. K-8 / 401 - 750,Somerset,5540,Watchung Boro,27274,0.27,0.695,0.023,0.012,0,0,10.8,50.6,132.6,0.1342
C. K-8 / 401 - 750,Sussex,90,Andover Reg,34539,0.248,0.718,0.028,0.007,0,0,8.1,42.9,71.5,0.1818
C. K-8 / 401 - 750,Sussex,1560,Frankford Twp,29587,0.302,0.664,0.035,0,0,0,7.9,59.2,115.3,0.153
C. K-8 / 401 - 750,Sussex,1570,Franklin Boro,28889,0.487,0.458,0.044,0,0,0.011,9.6,59.3,118.5,0.1751
C. K-8 / 401 - 750,Sussex,2030,Hardyston Twp,30618,0.278,0.693,0.026,0.002,0.002,0,10.1,51.3,148.8,0.1832
C. K-8 / 401 - 750,Union,3470,Mountainside Boro,25567,0.212,0.762,0.023,0.003,0,0,10.1,64.6,167.3,0.0897
C. K-8 / 401 - 750,Warren,30,Allamuchy Twp,23925,0.201,0.773,0.016,0.01,0,0,12.3,80.4,139.3,0.1531
C. K-8 / 401 - 750,Warren,1785,Great Meadows Regional,23454,0.238,0.678,0.055,0.003,0.026,0,12.1,74.5,168.7,0.1747
C. K-8 / 401 - 750,Warren,1840,Greenwich Twp,21949,0.41,0.553,0.037,0,0,0,11.6,82.6,254.2,0.1725
C. K-8 / 401 - 750,Warren,2790,Lopatcong Twp,20888,0.272,0.635,0.021,0.004,0.069,0,12,92.4,369.5,0.1326
