CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
80,7830,3210684,2009162,1879914,106901,22347,347232,125968,380206,218365,474084,0,0,0,0,Soaring Heights CS,Hudson,K. Charter,C,,,1,269.6,18,92000,135,76600,,,,Hudson
80,7898,,,,,,,,,,,,,,,Kindle Education Public Charter,Hudson,K. Charter,C,,,1,,,,,,,,,Hudson
80,8060,7067318,4170101,3859956,78146,231999,387867,349642,1404920,1215337,1104429,0,0,0,19700,University Academy CS,Hudson,K. Charter,C,,,1,419,12.7,61833,77.6,59162,59.9,91516,5.5,Hudson
80,6017,16080915,7560512,6881417,221207,457888,176292,176292,5550943,4732767,2793168,976246,0,0,0,Foundation Academy CS,Mercer,K. Charter,C,,,1,1046.4,16.9,80138,87.2,74875,58.1,104680,4.1,Mercer
80,6025,6494087,3827189,3241930,114553,470706,0,0,1406466,877013,1079608,59548,180824,0,0,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,439.1,12.2,67500,109.8,64375,146.3,80855,13.3,Mercer
80,6183,9086147,2696918,2224584,137676,334658,0,0,5209824,3850893,1179405,0,0,0,0,Trenton Stem-To-Civics CS,Mercer,K. Charter,C,,,1,583.5,24.9,58000,97.3,60000,83.4,160000,4.2,Mercer
80,6810,1250568,704460,687910,8694,7856,70445,60892,394378,330671,60653,0,20631,0,0,International Charter School,Mercer,K. Charter,C,,,1,108,12.3,59030,67.5,35000,45,90000,4.3,Mercer
80,7500,6043424,3378101,3179271,91086,107744,0,0,1649308,1326250,1016015,107854,0,0,0,Pace CS Of Hamilton,Mercer,K. Charter,C,,,1,439.9,11.6,58750,,,110,110800,9.5,Mercer
80,7540,6589373,4425560,4185479,145609,94472,205142,117400,1340387,905028,614285,85860,0,3999,1291,Princeton CS,Mercer,K. Charter,C,,,1,421,10.2,74903,421,83437,140.3,145406,14.1,Mercer
80,7895,4903132,1880189,1674057,16114,190018,0,0,1875540,1123392,1147403,39355,0,0,0,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,341.8,17.1,60823,68.4,68250,57,84750,4.2,Mercer
80,8140,4770874,2671651,2224721,234544,212386,283554,283554,1094808,890683,720861,144496,0,0,657206,Village CS,Mercer,K. Charter,C,,,1,357.7,11.9,63000,119.3,94000,89.5,137000,8.3,Mercer
80,6032,7058724,3088832,2570325,64891,453616,663547,634872,1758001,1273027,1409680,799009,23000,115663,3880,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter,C,,,1,370.3,14.2,59441,74,61088,92.5,118513,7.8,Middlesex
80,6041,7923830,4959175,4746377,132258,80540,0,0,1545360,1304133,1409113,0,0,0,0,Hatikvah International CS,Middlesex,K. Charter,C,,,1,596.1,14.3,66000,107.4,39695,170.3,120121,13.5,Middlesex
80,6635,6222093,3498267,3414715,67325,16227,0,0,2476764,2053358,186893,0,60169,0,0,Greater Brunswick CS,Middlesex,K. Charter,C,,,1,395.5,,,,,,,,Middlesex
80,7896,6279660,3558990,3413378,68657,76955,0,0,1192489,773166,1528180,507496,0,0,1561,Middlesex Charter School,Middlesex,K. Charter,C,,,1,438.6,14.7,59800,87.8,59000,439,31881,34.8,Middlesex
80,6010,3599028,1768613,1655226,17148,96239,615387,615387,646335,556586,531976,32913,36717,0,11659,Academy Charter High School,Monmouth,K. Charter,C,,,1,179.1,10.2,66225,44.8,65688,89.5,93558,10.8,Monmouth
80,6740,3961925,2288228,2093225,131823,63180,0,0,967684,624071,706013,302146,0,0,12220,Hope Academy CS,Monmouth,K. Charter,C,,,1,275.6,10.8,58700,172.5,41710,91.7,86700,9,Monmouth
80,7720,3186085,1979617,1906144,13860,59613,463185,427812,492782,246775,89147,0,58433,10092,1388,The Red Bank CS,Monmouth,K. Charter,C,,,1,179.4,6.9,52614,55.9,58041,89.5,136200,14.7,Monmouth
80,7891,10777879,5503969,5303230,39269,161470,0,0,3103534,1463504,2170376,1099919,0,0,6429,College Achieve Greater Asbury Park Char,Monmouth,K. Charter,C,,,1,536.5,14.5,62000,107.4,67000,89.5,86000,7,Monmouth
80,8050,4156835,2299493,2185695,26885,86913,0,0,1019235,815726,817047,511843,0,0,11658,Unity CS,Morris,K. Charter,C,,,1,253,10.1,55620,230,38603,63.3,107671,6.5,Morris
80,7893,6926591,4772607,4385859,204183,182565,0,0,1508493,607337,645490,52146,0,0,35,Ocean Academy Charter School,Ocean,K. Charter,C,,,1,443.4,11.4,58200,221.5,71068,143.8,80000,13.2,Ocean
80,6021,11882173,3884223,3798985,8283,76955,0,0,2677941,2141058,5320009,1594534,0,0,0,Community Charter School Of Paterso,Passaic,K. Charter,C,,,1,885,15.8,69714,295,81232,80.5,120199,5.4,Passaic
80,6079,11079216,5070673,4466328,35249,569096,552044,464992,2062946,819188,3393552,626042,0,0,102369,John P Holland Charter School,Passaic,K. Charter,C,,,1,594.1,18,60000,148.5,60000,74.3,113000,4.6,Passaic
80,6080,25496693,13784019,12720201,685505,378313,0,0,8273480,3799327,3439194,0,0,0,148360,Passaic Arts And Science Charter School,Passaic,K. Charter,C,,,1,1933.6,15.5,65400,175.8,71073,483.5,121957,34,Passaic
80,6096,16433568,8470353,7754902,459518,255933,0,0,4763744,1921133,3199471,0,0,0,125335,Paterson Arts And Science Charter School,Passaic,K. Charter,C,,,1,1173,14.5,63700,167.6,71784,,,,Passaic
80,6106,8235421,3823058,3767435,6643,48980,0,0,2539543,2003773,1872820,165488,0,0,0,Philip’s Charter School Of Paterson,Passaic,K. Charter,C,,,1,509.9,11.3,64050,56.7,62400,85,109500,9,Passaic
80,6230,1614227,720940,713844,653,6443,94295,80839,356437,300512,442555,60669,0,0,2700,Classical Academy Charter School Of Clif,Passaic,K. Charter,C,,,1,161.7,12.5,51750,81,54100,81,80000,7.5,Passaic
80,7503,21710460,11442836,11008383,311430,123023,1507038,1345685,5698190,4914482,2393009,1564629,0,662306,87100,Paterson CS For Sci/Tech,Passaic,K. Charter,C,,,1,1614.8,13.2,63225,80.8,73263,115.4,114301,10.1,Passaic
80,7892,21256884,10468445,6988751,20365,3459329,0,0,5910850,3938649,4877589,480663,0,0,12156,College Achieve Paterson Charter School,Passaic,K. Charter,C,,,1,1276.3,18.8,68250,159.5,65750,79.8,121654,4.8,Passaic
80,7899,,,,,,,,,,,,,,,Brilla New Jersey Charter School,Passaic,K. Charter,C,,,1,,,,,,,,,Passaic
80,7897,2823440,1738278,1607653,86476,44149,0,0,735086,97106,304575,31871,45501,0,7200,Creativity Colaboratory Charter School,Salem,K. Charter,C,,,1,191,11.2,56000,191,53000,,,,Salem
80,6018,17112177,9730902,9136708,275634,318560,1062075,849892,3033087,2485284,3095394,754224,0,186536,0,Central Jersey College Prep Charter Scho,Somerset,K. Charter,C,,,1,1279.6,13.2,61000,142.2,60770,213.3,115100,17.7,Somerset
80,6081,7369775,4469518,4201657,176039,91822,0,0,1121805,963413,1778452,1329141,0,0,0,Thomas Edison Energysmart Charter School,Somerset,K. Charter,C,,,1,603.3,15.9,70250,201,83600,92.8,122448,6.3,Somerset
80,7850,3861178,2194458,2068046,82621,43791,490286,437852,674037,518101,424580,121666,0,77817,0,Sussex County Technology Charter School,Sussex,K. Charter,C,,,1,222.6,9.9,65883,89.2,59383,111.5,95248,12.6,Sussex
80,6033,3823840,2242282,1832091,214290,195901,61419,38916,1102038,819481,292931,0,0,0,0,The Barack Obama Green Charter High Scho,Union,K. Charter,C,,,1,260,9.8,61484,104,47000,65,111475,7.3,Union
80,6101,22795854,11659794,9552046,86130,2021618,0,0,5997861,3257691,5115064,789132,23135,0,0,College Achieve Central Charter School,Union,K. Charter,C,,,1,1395.3,13.8,58750,139.5,70250,99.6,122000,7.9,Union
80,6102,6453066,3156861,2997500,50510,108851,0,0,1915955,1156706,1296347,271841,83903,0,17296,Cresthaven Academy Charter School,Union,K. Charter,C,,,1,522,14.5,62121,261,88500,522,150000,38,Union
80,7600,4811513,2473555,1864182,114760,494613,258544,136495,1521530,973490,519392,0,25000,10280,0,Queen City Academy CS,Union,K. Charter,C,,,1,395,24.7,52033,98.8,60788,197.5,165000,10,Union
80,8010,4188411,2185856,1950805,116259,118792,0,0,890979,418030,1111576,124525,0,0,0,Union County Teams CS,Union,K. Charter,C,,,1,327.6,,,,,,,,Union
80,7727,2314183,1393957,1354834,31748,7375,0,0,555304,443995,364922,94511,0,0,105497,Ridge And Valley CS,Warren,K. Charter,C,,,1,129,7.2,49181,80.6,62634,43,90714,6.5,Warren
