CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY
Camden,1770,Gloucester City,72066202,2517,28627,55,71585352,2392,29927,58,"M. K-12|K-12,1800-3500"
Camden,1780,Gloucester Twp,146267919,6566,22278,6,156953987,6678,23505,9,"E. K-8|K-8,751+"
Camden,1799,Kipp Cooper Norcross,45208546,1890,23920,55,83347980,2002,41642,84,O. Charter
Camden,1801,Camden Prep,25115916,1106,22712,44,29070383,1167,24912,59,O. Charter
Camden,1802,Mastery Schools Of Camden,64412398,2813,22901,46,75139216,2848,26383,71,O. Charter
Camden,1880,Haddon Heights Boro,33807736,1563,21625,2,34197534,1478,23135,2,"L. K-12|K-12,0-1800"
Camden,1890,Haddon Twp,48878599,2082,23483,11,50916751,2147,23718,5,"M. K-12|K-12,1800-3500"
Camden,1900,Haddonfield,58881257,2714,21697,2,60276431,2767,21785,1,"M. K-12|K-12,1800-3500"
Camden,2130,Hi Nella,2848214,120,23735,9,2725839,112,24338,5,K-12|Non-Operating
Camden,2540,Laurel Springs Boro,6218030,317,19645,1,7458974,320,23302,12,H. K-12|K-6
Camden,2560,Lawnside Boro,12580738,470,26795,28,13587573,456,29783,36,"I. K-12|K-8,0-400"
Camden,2670,Lindenwold Boro,82807239,3051,27144,45,79826044,3152,25324,16,"M. K-12|K-12,1800-3500"
Camden,2890,Magnolia Boro,11227859,408,27525,34,11915256,402,29607,35,"C. K-8|K-8,0-400"
Camden,3110,Merchantville Boro,11992934,550,21807,2,12827174,530,24211,8,"I. K-12|K-8,0-400"
Camden,3420,Mount Ephraim Boro,14167648,566,25024,17,15763815,593,26598,20,"J. K-12|K-8,401-750"
Camden,3770,Oaklyn Boro,11179513,492,22731,8,11846089,516,22970,10,H. K-12|K-6
Camden,4060,Pennsauken Twp,132308575,4668,28344,62,131676986,4878,26996,38,"N. K-12|K-12,3500+"
Camden,4110,Pine Hill Boro,50657179,1893,26758,44,54048654,1953,27676,40,"M. K-12|K-12,1800-3500"
Camden,4590,Runnemede Boro,20481919,812,25238,31,20689667,829,24963,21,"E. K-8|K-8,751+"
Camden,4790,Somerdale Boro,11498065,456,25224,20,11922591,448,26644,21,"D. K-8|K-8,401-750"
Camden,5035,Sterling High School Dist,23520577,906,25950,8,25052118,901,27815,8,"G. G9-12|7-12,9-12"
Camden,5080,Stratford Boro,21176647,890,23784,20,22519654,908,24793,20,"E. K-8|K-8,751+"
Camden,5400,Voorhees Twp,77546853,2945,26329,35,76540410,3025,25305,23,"E. K-8|K-8,751+"
Camden,5560,Waterford Twp,37425921,1564,23924,16,37118650,1606,23111,11,H. K-12|K-6
Camden,5820,Winslow Twp,132388387,4770,27756,57,132032471,4867,27130,40,"N. K-12|K-12,3500+"
Camden,5900,Woodlynne Boro,14788592,564,26230,28,16697056,572,29183,41,"J. K-12|K-8,401-750"
Camden,6086,Hope Community Cs,4738319,144,32928,84,3858504,133,29121,78,O. Charter
Camden,6107,Camden’s Promise Charter,50395803,2163,23298,49,58100246,2274,25548,65,O. Charter
Camden,7109,Leap Academy University,31255503,1547,20209,26,33774077,1539,21951,34,O. Charter
Cape May,170,Avalon Boro,5290241,99,53377,76,4993174,114,43642,73,"I. K-12|K-8,0-400"
Cape May,710,Cape May City,5619676,168,33473,52,5540554,161,34456,52,A. K-6|K-6
Cape May,715,Cape May Co Special Serv,15519613,232,66885,1,16132505,245,65986,2,P. CSSD
Cape May,720,Cape May Co Vocational,19741335,590,33464,17,23561463,608,38785,19,Q. County Voc
Cape May,730,Cape May Point,64876,2,32438,14,49027,1,49027,16,K-12|Non-Operating
Cape May,1080,Dennis Twp,20500563,768,26684,33,22191621,799,27783,31,"J. K-12|K-8,401-750"
Cape May,2820,Lower Cape May Regional,41801420,1201,34810,32,43964111,1205,36488,35,"F. G7-12|7-12,9-12"
Cape May,2840,Lower Twp,41093144,1524,26956,33,42700457,1471,29023,32,A. K-6|K-6
Cape May,3130,Middle Twp,63956408,2585,24741,23,66615999,2635,25283,15,"M. K-12|K-12,1800-3500"
Cape May,3680,North Wildwood City,12117191,231,52554,75,11280068,211,53404,76,"I. K-12|K-8,0-400"
Cape May,3780,Ocean City,57113229,1941,29422,58,57364577,1859,30867,61,"M. K-12|K-12,1800-3500"
Cape May,4700,Sea Isle City,2275769,97,23583,8,2492659,80,31354,14,H. K-12|K-6
Cape May,5060,Stone Harbor Boro,3697372,108,34362,63,4020001,105,38288,65,"I. K-12|K-8,0-400"
Cape May,5340,Upper Twp,42933054,1918,22391,7,42681241,1930,22111,4,"K. K-12|K-8,751+"
Cape May,5610,West Cape May Boro,2356183,87,27020,34,2626184,86,30403,39,A. K-6|K-6
Cape May,5700,West Wildwood,824797,36,22911,6,860232,34,25301,7,K-12|Non-Operating
Cape May,5790,Wildwood City,33625800,898,37454,48,27766180,849,32724,39,"L. K-12|K-12,0-1800"
Cape May,5800,Wildwood Crest Boro,11390244,271,41997,72,11782376,270,43612,72,"I. K-12|K-8,0-400"
Cape May,5840,Woodbine Boro,7950555,282,28214,39,10742406,293,36645,60,"I. K-12|K-8,0-400"
Cumberland,540,Bridgeton City,165543891,6256,26462,43,179244041,6204,28894,61,"N. K-12|K-12,3500+"
Cumberland,950,Commercial Twp,16459800,652,25254,22,17843228,656,27213,24,"J. K-12|K-8,401-750"
Cumberland,995,Cumberland Co Vocational,32823062,1025,32034,16,31823892,1082,29407,11,Q. County Voc
Cumberland,997,Cumberland Regional,32003430,1132,28263,10,39679849,1152,34440,28,"G. G9-12|7-12,9-12"
Cumberland,1020,Deerfield Twp,7898742,285,27679,36,8713725,319,27352,27,"C. K-8|K-8,0-400"
Cumberland,1120,Downe Twp,5340816,171,31276,54,5095980,170,30063,38,"I. K-12|K-8,0-400"
Cumberland,1460,Fairfield Twp,14861634,504,29505,50,13421481,528,25414,11,"D. K-8|K-8,401-750"
Cumberland,1820,Greenwich Twp,1930650,75,25698,18,2093272,83,25376,10,"C. K-8|K-8,0-400"
Cumberland,2270,Hopewell Twp,11101810,495,22409,4,12175504,512,23798,8,"D. K-8|K-8,401-750"
Cumberland,2570,Lawrence Twp,13690417,532,25720,26,13883448,537,25860,14,"J. K-12|K-8,401-750"
Cumberland,3050,Maurice River Twp,11460235,520,22042,3,12080279,526,22976,2,"I. K-12|K-8,0-400"
Cumberland,3230,Millville City,147818471,5046,29296,70,164530648,5032,32699,81,"N. K-12|K-12,3500+"
Cumberland,5070,Stow Creek Twp,3176281,123,25842,19,3060709,124,24638,9,"C. K-8|K-8,0-400"
Cumberland,5300,Upper Deerfield Twp,23637700,928,25480,33,26755364,970,27582,38,"E. K-8|K-8,751+"
Cumberland,5390,Vineland City,273135210,10326,26450,42,271453768,10426,26035,20,"N. K-12|K-12,3500+"
Cumberland,6028,Vineland Public Charter,5377612,380,14144,1,5915617,398,14860,1,O. Charter
Cumberland,6069,Millville Public Charter,4547300,286,15905,5,5622005,288,19507,17,O. Charter
Cumberland,6089,Compass Academy Cs,3701860,178,20774,30,3278860,170,19253,16,O. Charter
Cumberland,6100,Bridgeton Public Charter,2311572,116,20014,25,2664530,117,22793,39,O. Charter
Essex,250,Belleville Town,115304147,4777,24139,13,134131137,4993,26862,36,"N. K-12|K-12,3500+"
Essex,410,Bloomfield Twp,159396910,6160,25876,34,179166693,6468,27700,43,"N. K-12|K-12,3500+"
Essex,660,Caldwell-West Caldwell,64599006,2624,24619,20,69630002,2590,26888,33,"M. K-12|K-12,1800-3500"
Essex,760,Cedar Grove Twp,44038987,1617,27228,26,45807806,1593,28763,26,"L. K-12|K-12,0-1800"
Essex,1210,East Orange,327323134,9203,35568,92,351652313,9338,37657,92,"N. K-12|K-12,3500+"
Essex,1390,Essex Co Voc-Tech,74410315,2084,35705,18,92248169,2106,43809,21,Q. County Voc
Essex,1400,Essex Fells Boro,7383866,257,28713,36,7917991,248,31937,45,A. K-6|K-6
Essex,1465,Fairfield Twp,17144870,708,24206,18,17328439,699,24784,19,A. K-6|K-6
Essex,1750,Glen Ridge Boro,46891184,1834,25569,19,51242445,1881,27249,18,"L. K-12|K-12,0-1800"
Essex,2330,Irvington Township,217229797,7420,29277,69,246673946,7667,32173,77,"N. K-12|K-12,3500+"
Essex,2730,Livingston Twp,164066057,6220,26379,39,171644708,6399,26825,34,"N. K-12|K-12,3500+"
Essex,3190,Millburn Twp,128390499,4806,26713,45,139025722,4813,28888,60,"N. K-12|K-12,3500+"
Essex,3310,Montclair Town,191863392,6079,31564,83,222863801,6160,36178,90,"N. K-12|K-12,3500+"
Essex,3570,Newark City,1226565171,40826,30044,79,1401152588,41540,33730,86,"N. K-12|K-12,3500+"
Essex,3630,North Caldwell Boro,18555768,721,25728,27,19092708,707,27010,29,A. K-6|K-6
Essex,3750,Nutley Town,99509349,4027,24709,18,106773745,4075,26200,23,"N. K-12|K-12,3500+"
Essex,3880,City Of Orange Twp,168421700,5645,29834,76,191780721,5788,33134,84,"N. K-12|K-12,3500+"
