GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
C. K-8 / 401 - 750,Statewide,N.A.,1. State average - Operating Type K-8,47,N.A.,0.003,49,N.A.,0.003,50,N.A.,0.003
C. K-8 / 401 - 750,Statewide,N.A.,2. State median - Operating Type K-8,45,N.A.,0.003,49,N.A.,0.003,49,N.A.,0.002
C. K-8 / 401 - 750,Statewide,N.A.,5. State average - All operating types,44,N.A.,0.003,45,N.A.,0.003,48,N.A.,0.003
C. K-8 / 401 - 750,Statewide,N.A.,6. State median - All operating types,40,N.A.,0.002,41,N.A.,0.002,46,N.A.,0.003
C. K-8 / 401 - 750,Atlantic,570,Brigantine City,35,22|63,0.001,47,27|63,0.002,56,36|63,0.002
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,10,1|63,52E-5
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,74,41|63,0.005,126,56|63,0.008,107,57|63,0.006
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,69,38|63,0.003,84,47|63,0.004,88,51|63,0.004
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,70,39|63,0.004,141,59|63,0.007,73,45|63,0.004
C. K-8 / 401 - 750,Bergen,1070,Demarest Boro,62,37|63,0.003,38,23|63,0.002,44,27|63,0.002
C. K-8 / 401 - 750,Bergen,1380,Englewood Cliffs Boro,251,62|63,0.011,65,39|63,0.003,43,24|63,0.002
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,11,4|63,53E-5,23,10|63,0.001,28,11|63,0.001
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,25,12|63,0.002,21,5|63,0.001,43,24|63,0.002
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,77,42|63,0.005,19,4|63,0.001,67,42|63,0.004
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,140,55|63,0.01,101,53|63,0.007,78,49|63,0.005
C. K-8 / 401 - 750,Bergen,3850,Old Tappan Boro,24,11|63,0.001,22,9|63,0.001,103,56|63,0.005
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,106,52|63,0.006,50,29|63,0.003,73,45|63,0.004
C. K-8 / 401 - 750,Bergen,5880,Woodcliff Lake Boro,36,23|63,0.002,33,17|63,0.002,16,3|63,74E-5
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,28,14|63,0.002,33,17|63,0.002,40,21|63,0.003
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,16,6|63,0.001,61,38|63,0.004,60,38|63,0.004
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,46,31|63,0.003,182,62|63,0.012,203,62|63,0.012
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,29,16|63,0.002,34,19|63,0.002,20,6|63,0.001
C. K-8 / 401 - 750,Burlington,4930,Southampton Township School District,48,32|63,0.003,96,50|63,0.006,62,40|63,0.004
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,94,46|63,0.006,82,46|63,0.005,46,29|63,0.003
C. K-8 / 401 - 750,Camden,190,Barrington Boro,6,1|63,37E-5,18,3|63,0.001,27,10|63,0.001
C. K-8 / 401 - 750,Camden,340,Berlin Twp,96,48|63,0.006,133,57|63,0.008,57,37|63,0.004
C. K-8 / 401 - 750,Camden,880,Clementon Boro,80,43|63,0.006,56,34|63,0.004,18,4|63,0.001
C. K-8 / 401 - 750,Camden,3110,Merchantville Boro,43,28|63,0.003,53,31|63,0.004,29,12|63,0.002
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,145,56|63,0.01,60,37|63,0.004,90,52|63,0.005
