GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,1182,4|81,0.089,0.7199,1234,4|81,0.078,0.6198,1381,6|81,0.084,0.6338
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,1785,24|81,0.126,0.8365,1977,26|81,0.141,0.8183,2151,23|81,0.137,0.7856
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,1336,10|81,0.09,0.6075,1670,16|81,0.107,0.6567,2216,27|81,0.113,0.6723
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,1151,3|81,0.076,0.6791,1441,11|81,0.092,0.7731,1440,8|81,0.095,0.7284
B. K-8 / 0 - 400,Sussex,1800,Green Twp,2212,37|81,0.118,0.8709,2121,34|81,0.107,0.925,2352,34|81,0.109,0.8773
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,2690,53|81,0.136,0.8843,2809,51|81,0.115,0.8192,4262,72|81,0.145,0.8453
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,2300,40|81,0.121,0.8273,2094,33|81,0.106,0.8189,2374,36|81,0.108,0.8152
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,3253,63|81,0.16,0.7402,2863,53|81,0.137,0.7188,3306,56|81,0.152,0.7526
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,2416,44|81,0.148,0.7771,2754,50|81,0.171,0.8389,2953,49|81,0.157,0.799
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,2552,49|81,0.145,0.8008,2647,46|81,0.153,0.855,3482,61|81,0.171,0.8804
B. K-8 / 0 - 400,Union,1710,Garwood Boro,1736,20|81,0.114,0.7037,1948,25|81,0.129,0.801,2735,42|81,0.163,0.826
B. K-8 / 0 - 400,Union,5810,Winfield Twp,4385,74|81,0.212,0.8905,4627,76|81,0.207,0.8902,5280,79|81,0.239,0.9293
B. K-8 / 0 - 400,Warren,70,Alpha Boro,1749,21|81,0.103,0.662,2440,41|81,0.107,0.6521,1954,19|81,0.091,0.6174
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,1257,7|81,0.066,0.5297,1816,18|81,0.081,0.596,1952,18|81,0.082,0.5935
B. K-8 / 0 - 400,Warren,2250,Hope Twp,2058,31|81,0.089,0.5314,1934,24|81,0.078,0.4322,2035,21|81,0.09,0.4695
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,2119,34|81,0.127,0.8268,1983,27|81,0.116,0.7929,2254,29|81,0.119,0.7667
