GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
K. CHARTER,CAMDEN,6086,HOPE COMMUNITY CS,10986,15|88,13879,50|92,11904,53|91,194,175,192,
K. CHARTER,CAMDEN,6107,CAMDEN'S PROMISE CHARTER,,N.R.,,N.R.,11568,49|91,,,1907,
K. CHARTER,CAMDEN,6232,ENVIRONMENT COMMUNITY OPP,13069,39|88,14976,65|92,16113,89|91,,181,148,
K. CHARTER,CAMDEN,6240,FREEDOM PREP CHARTER SCHO,13861,46|88,13934,51|92,11576,50|91,584,801,843,
K. CHARTER,CAMDEN,7109,LEAP ACADEMY UNIVERSITY C,11901,22|88,12171,26|92,9827,20|91,1376,1432,1560,
K. CHARTER,CUMBERLAND,6028,VINELAND PUBLIC CHARTER S,10011,7|88,8691,1|92,6970,1|91,299,333,396,
K. CHARTER,CUMBERLAND,6069,MILLVILLE PUBLIC CHARTER,9910,6|88,9572,4|92,8254,6|91,217,249,307,
K. CHARTER,CUMBERLAND,6089,COMPASS ACADEMY CHARTER S,8475,1|88,9214,3|92,6975,2|91,142,176,198,
K. CHARTER,CUMBERLAND,6100,BRIDGETON PUBLIC CHARTER,,N.R.,10319,10|92,9509,16|91,,96,133,
K. CHARTER,ESSEX,6020,PRIDE ACADEMY CHARTER SCH,15651,69|88,13813,49|92,12966,67|91,262,287,288,
K. CHARTER,ESSEX,6022,BURCH CHARTER SCHOOL OF E,13850,45|88,13722,47|92,10499,29|91,349,343,344,
K. CHARTER,ESSEX,6029,NEWARK EDUCATORS COMMUNIT,15320,65|88,17657,83|92,13637,74|91,312,253,248,
K. CHARTER,ESSEX,6053,GREAT OAKS LEGACY CHARTER,16249,74|88,16225,74|92,12766,66|91,345,460,1229,
K. CHARTER,ESSEX,6057,PEOPLES PREPARATORY CHART,16418,75|88,16770,78|92,15754,88|91,364,371,380,
K. CHARTER,ESSEX,6058,ROSEVILLE COMMUNITY CHART,11503,20|88,13026,34|92,13765,78|91,324,348,330,
K. CHARTER,ESSEX,6059,NEWARK PREP CHARTER SCHOO,16054,72|88,15540,70|92,13155,69|91,425,450,470,
K. CHARTER,ESSEX,6090,PAULO FREIRE CHARTER SCHO,16819,81|88,14916,64|92,14092,80|91,202,270,264,
K. CHARTER,ESSEX,6091,MERIT PREPARATORY CHARTER,14478,56|88,15656,71|92,14207,81|91,303,375,526,
K. CHARTER,ESSEX,6094,PHILLIP'S ACADEMY CHARTER,11382,17|88,11915,23|92,12013,54|91,371,375,378,
K. CHARTER,ESSEX,6099,LINK COMMUNITY CHARTER SC,,N.R.,14528,58|92,13305,72|91,,286,288,
