GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,143,15|75,72500,16|75,134.5,14|75,73088,14|75
C. K-8 / 401 - 750,,,K-8 Average,146.1,,113504,,149.4,,115003,
C. K-8 / 401 - 750,,,STATEWIDE,151.5,,119362,,153.2,,121407,
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,110.3,57|66,103080,23|66,153.3,19|66,108250,28|66
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,131.5,39|66,108296,32|66,111.3,52|66,108296,29|66
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,133.3,N.A.,84460,N.A.,134.3,33|66,87205,6|66
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,179.5,10|66,95588,15|66,141.4,26|66,94883,13|66
C. K-8 / 401 - 750,ATLANTIC,5350,VENTNOR CITY,125.5,N.A.,99426,N.A.,116.3,47|66,107132,27|66
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,140.3,31|66,116542,46|66,108,55|66,124482,53|66
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,133,37|66,119200,52|66,133,35|66,133686,61|66
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,109.6,59|66,94091,12|66,131.8,36|66,94091,11|66
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,157.8,20|66,114815,45|66,151.3,21|66,120184,45|66
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,104.8,60|66,90085,9|66,103,58|66,112500,37|66
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,154.3,22|66,109800,36|66,135.8,31|66,127000,58|66
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,128.8,41|66,108120,31|66,103.4,57|66,111370,34|66
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,164.9,15|66,105750,25|66,153.3,19|66,103245,24|66
C. K-8 / 401 - 750,BERGEN,3850,OLD TAPPAN BORO,160,19|66,132600,64|66,126.1,40|66,134560,62|66
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,165.7,14|66,107000,29|66,166.3,14|66,110000,32|66
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,160.5,17|66,117581,47|66,144.9,22|66,102083,22|66
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,155.8,21|66,80750,1|66,155.3,18|66,85491,5|66
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,135.3,33|66,114586,43|66,136.8,30|66,114586,40|66
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,133.1,36|66,120253,55|66,97.8,59|66,100400,19|66
C. K-8 / 401 - 750,BURLINGTON,5130,TABERNACLE TWP,124,47|66,109084,34|66,126.4,39|66,111485,35|66
