Group,Coname,Dist,Distname, EX121 , EX221 
D. K-8 / 751 +,Morris,820,Chester Twp, -   , -   
D. K-8 / 751 +,Morris,1090,Denville Twp,"200,000","200,000"
D. K-8 / 751 +,Morris,1190,East Hanover Twp,"143,343","140,533"
D. K-8 / 751 +,Morris,1530,Florham Park Boro, -   ,"104,595"
D. K-8 / 751 +,Morris,2000,Hanover Twp, -   , -   
D. K-8 / 751 +,Morris,2650,Lincoln Park Boro,"395,432","359,078"
D. K-8 / 751 +,Morris,4000,Long Hill Twp,"277,304","260,000"
D. K-8 / 751 +,Morris,4490,Rockaway Twp,"655,509","2,075,396"
D. K-8 / 751 +,Morris,5520,Washington Twp,"33,603", -   
D. K-8 / 751 +,Passaic,1920,Haledon Boro, -   ,"36,130"
D. K-8 / 751 +,Passaic,2700,Little Falls Twp,"896,455","718,720"
D. K-8 / 751 +,Passaic,4270,Prospect Park Boro,"350,760","306,963"
D. K-8 / 751 +,Passaic,4400,Ringwood Boro,"774,305","800,000"
D. K-8 / 751 +,Passaic,5200,Totowa Boro,"3,295,549","3,822,169"
D. K-8 / 751 +,Passaic,5440,Wanaque Boro,"341,540","400,000"
D. K-8 / 751 +,Passaic,5690,Woodland Park,"331,696","140,756"
D. K-8 / 751 +,Somerset,510,Branchburg Twp,"600,000","600,000"
D. K-8 / 751 +,Somerset,1810,Green Brook Twp,"300,000","350,000"
D. K-8 / 751 +,Somerset,5470,Warren Twp,"460,000","461,000"
D. K-8 / 751 +,Sussex,640,Byram Twp, -   , -   
D. K-8 / 751 +,Sussex,5100,Sussex-Wantage Regional,"1,462,494","791,669"
E. K-12 / 0 - 1800,Atlantic,590,Buena Regional,"1,733,760","1,234,090"
E. K-12 / 0 - 1800,Bergen,440,Bogota Boro,"800,000","700,000"
E. K-12 / 0 - 1800,Bergen,1360,Emerson Boro, -   , -   
E. K-12 / 0 - 1800,Bergen,2080,Hasbrouck Heights Boro, -   , -   
E. K-12 / 0 - 1800,Bergen,3170,Midland Park Boro,"325,000","300,000"
E. K-12 / 0 - 1800,Bergen,3940,Park Ridge Boro,"251,928","438,470"
E. K-12 / 0 - 1800,Bergen,4370,Ridgefield Boro,"400,000","685,454"
E. K-12 / 0 - 1800,Bergen,4610,Saddle Brook Twp, -   , -   
E. K-12 / 0 - 1800,Bergen,5410,Waldwick Boro,"798,044","1,070,417"
E. K-12 / 0 - 1800,Bergen,5430,Wallington Boro,"1,096,337","1,092,875"
E. K-12 / 0 - 1800,Bergen,5830,Wood-Ridge Boro, -   , -   
E. K-12 / 0 - 1800,Burlington,600,Burlington City,"1,017,273","1,101,274"
E. K-12 / 0 - 1800,Burlington,1520,Florence Twp,"1,373,318","1,355,297"
E. K-12 / 0 - 1800,Burlington,3920,Palmyra Boro,"931,219","1,226,462"
E. K-12 / 0 - 1800,Burlington,4450,Riverside Twp,"696,396","609,787"
E. K-12 / 0 - 1800,Camden,150,Audubon Public School Disrict, -   ,"7,599"
E. K-12 / 0 - 1800,Camden,1880,Haddon Heights Boro,"489,782","499,298"
E. K-12 / 0 - 1800,Cape May,5790,Wildwood City,"933,098","919,873"
E. K-12 / 0 - 1800,Essex,760,Cedar Grove Twp,"804,389","810,919"
E. K-12 / 0 - 1800,Gloucester,860,Clayton Boro,"173,019","146,681"
E. K-12 / 0 - 1800,Gloucester,4020,Paulsboro Boro, -   ,"808,665"
E. K-12 / 0 - 1800,Gloucester,4140,Pitman Boro,"119,242", -   
E. K-12 / 0 - 1800,Gloucester,5860,Woodbury City,"400,000","350,002"
