GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,67.1,53|79,95460,78|79,78.5,36|79,97681,79|79
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,119.2,3|79,67325,28|79,106.7,11|79,66148,27|79
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,39.8,79|79,60325,13|79,39.3,79|79,64048,22|79
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,67.9,52|79,72150,53|79,64.6,57|79,77300,61|79
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,119.1,4|79,91378,76|79,142.9,3|79,92540,78|79
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,100.3,15|79,67950,32|79,96.9,14|79,69700,41|79
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,96.1,18|79,75385,59|79,83.3,22|79,71410,44|79
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,58.1,68|79,85854,72|79,53.2,70|79,84133,71|79
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,84.7,27|79,120537,79|79,95.1,15|79,69170,37|79
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,81,30|79,71850,51|79,74.6,42|79,74425,56|79
