CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
Burlington,4930,Southampton Twp,18140980,718,25283,48,17203170,700,24576,44,"D. K-8|K-8,401-750",DK-8K-8401-750
Burlington,5010,Springfield Twp,5865657,228,25724,41,5531718,247,22396,29,A. K-6|K-6,AK-6K-6
Burlington,5130,Tabernacle Twp,16975131,708,23991,39,15989909,683,23427,35,"D. K-8|K-8,401-750",DK-8K-8401-750
Burlington,5490,Washington Twp,1300801,63,20648,6,1435400,64,22428,7,K-12|Non-Operating,
Burlington,5720,Westampton,17273313,1029,16788,2,18307247,1047,17495,3,"E. K-8|K-8,751+",EK-8K-8751plus
Burlington,5805,Willingboro Twp,89676709,3464,25886,67,89094156,3557,25046,59,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Burlington,5890,Woodland Twp,3424649,135,25457,48,3377311,135,25061,48,"C. K-8|K-8,0-400",CK-8K-80-400
Burlington,6026,Riverbank Charter School,1921868,153,12586,4,1954809,153,12760,4,O. Charter,OCharter
Burlington,6076,Benjamin Banneker Prep Cs,5011547,357,14046,15,5897631,356,16576,36,O. Charter,OCharter
Camden,150,Audubon Boro,30746499,1515,20292,9,30210896,1489,20286,10,"L. K-12|K-12,0-1800",LK-12K-120-1800
Camden,190,Barrington Boro,16976405,816,20818,16,16987679,845,20107,6,"J. K-12|K-8,401-750",JK-12K-8401-750
Camden,260,Bellmawr Boro,22743245,1229,18502,5,22797545,1226,18595,7,"E. K-8|K-8,751+",EK-8K-8751plus
Camden,330,Berlin Boro,14700385,830,17721,3,14766416,819,18021,5,"E. K-8|K-8,751+",EK-8K-8751plus
Camden,340,Berlin Twp,19531504,797,24508,43,18749696,800,23447,36,"J. K-12|K-8,401-750",JK-12K-8401-750
Camden,390,Black Horse Pike Regional,86479339,3625,23856,9,84737946,3652,23203,9,"G. G9-12|7-12,9-12",GG9-127-129-12
Camden,580,Brooklawn Boro,7510851,373,20161,7,7348843,357,20582,9,"I. K-12|K-8,0-400",IK-12K-80-400
Camden,680,Camden City,303155016,9082,33379,91,287402463,8492,33843,91,"N. K-12|K-12,3500+",NK-12K-123500plus
Camden,700,Camden County Vocational,52737290,2077,25393,11,53081961,2060,25770,12,Q. County Voc,QCountyVoc
