cds,fiscal_year,student_count
175580,2016-2017,66275
175670,2016-2017,423467
190020,2016-2017,21285
190370,2016-2017,17457
190430,2016-2017,8277.5
190670,2016-2017,4532
190910,2016-2017,14322
190920,2016-2017,61853
191040,2016-2017,17853
191050,2016-2017,38038
191160,2016-2017,16137
191376,2016-2017,41905
191510,2016-2017,146476
191600,2016-2017,13552
191680,2016-2017,6160
191740,2016-2017,6292
191970,2016-2017,5384.5
192140,2016-2017,16588
192220,2016-2017,24398
192300,2016-2017,134805
192308,2016-2017,9630.5
192450,2016-2017,15279
192590,2016-2017,5780.5
192600,2016-2017,29216
193180,2016-2017,3883
193660,2016-2017,121792
194350,2016-2017,75526
195180,2016-2017,26829
195270,2016-2017,20394
211245,2016-2017,254061.5
211430,2016-2017,177078
211950,2016-2017,572060.5
212280,2016-2017,162723
212580,2016-2017,184288.5
213105,2016-2017,20344.5
214255,2016-2017,165473
215210,2016-2017,800525
215510,2016-2017,133353
215715,2016-2017,437409.5
230750,2016-2017,194601
230970,2016-2017,33979
231140,2016-2017,56441
231170,2016-2017,381898
231290,2016-2017,700293
232110,2016-2017,13376
232150,2016-2017,78210
232370,2016-2017,46326.5
233120,2016-2017,101255
233140,2016-2017,98373
233150,2016-2017,85178.5
233220,2016-2017,45727
233290,2016-2017,282876
233530,2016-2017,535507.5
233620,2016-2017,302626.5
233845,2016-2017,426349
234090,2016-2017,564965.5
234130,2016-2017,348557
234660,2016-2017,298848
234830,2016-2017,53427
234860,2016-2017,397210
234910,2016-2017,161617.5
234920,2016-2017,112123
234970,2016-2017,55583
235850,2016-2017,669284
250050,2016-2017,220
250100,2016-2017,131901
250130,2016-2017,11079
250180,2016-2017,7414
250270,2016-2017,29700
250500,2016-2017,19954
250560,2016-2017,35799.5
250945,2016-2017,40997
251000,2016-2017,9306
251260,2016-2017,52987
251440,2016-2017,44000
251490,2016-2017,7397.5
251640,2016-2017,90739
251650,2016-2017,503673.5
251660,2016-2017,173332.5
252105,2016-2017,136119.5
252120,2016-2017,11677.5
252160,2016-2017,7443
252230,2016-2017,131769
252290,2016-2017,276078
252320,2016-2017,1556.5
