district_id,cds_code,district_name
5220,295220,Tuckerton Boro
0420,310420,Bloomingdale Boro
0900,310900,Clifton City
2100,312100,Hawthorne Boro
2510,312510,Lakeland Regional
3980,313980,Passaic Co Manchester Reg
3990,313990,Passaic Valley Regional
4010,314010,Paterson City
4230,314230,Pompton Lakes Boro
4300,034300,Ramapo-Indian Hill Reg
4310,034310,Ramsey Boro
4370,034370,Ridgefield Boro
5130,055130,Tabernacle Twp
4380,034380,Ridgefield Park Twp
4390,034390,Ridgewood Village
5755,035755,Westwood Regional
5830,035830,Wood-Ridge Boro
5880,035880,Woodcliff Lake Boro
5920,035920,Wyckoff Twp
0200,050200,Bass River Twp
0380,050380,Beverly City
0610,050610,Burlington Co Vocational
0610,050610,Burlington Co Vocational
0610,050610,Burlington Co Vocational
0610,050610,Burlington Co Vocational
0610,050610,Burlington Co Vocational
0610,050610,Burlington Co Vocational
