CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
3,4370,34835036,19202574,18299983,545243,357348,8690823,8277319,3306144,2595059,2846096,1332680,0,668399,146997,1661,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,10.3,74365,45,91609,110.9,130841,13.2,Bergen
3,4380,33017171,19395127,17565658,551909,1277560,4655277,4226346,3780965,2755576,3960951,484143,0,868308,85801,2320,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,13.5,80384,84.8,92701,165.3,139509,14.2,Bergen
3,4390,87150672,51451628,48769157,1445310,1237161,16691549,13360716,7945735,6980416,9392720,549380,0,1574150,77412,5664,Ridgewood Village,Bergen,G. K-12 / 3501 +,3,J,,1,13.3,83425,78,96805,183,157748,16.1,Bergen
3,4405,27584322,16096856,15042704,502913,551239,3898918,3458016,3378028,2977792,2893084,1445138,0,1308703,83397,1621,River Dell Regional,Bergen,H. 7-12 / 9-12,4,I,,1,11.8,81514,77,90184,124.4,150979,12.1,Bergen
3,4410,16827427,11016257,10284875,474380,257002,2323212,2152404,2020581,1791736,1452517,842588,0,0,0,1199,River Edge Boro,Bergen,A. K-6,1,I,,1,12.8,61977,91.7,76441,140.2,150504,12.5,Bergen
3,4430,19001454,11209023,10589080,310787,309156,3221681,2468695,2523330,2092276,1886306,1150574,0,161115,384705,1143,River Vale Twp,Bergen,D. K-8 / 751 +,2,I,,1,12,83980,84.7,69640,157.9,124541,15,Bergen
3,4470,8273980,5316541,4814234,460251,42056,1055369,781895,984933,541136,874880,464947,0,42257,0,483,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,2,FG,,1,11.3,81690,70.4,60388,159,111780,16.4,Bergen
3,4600,36852385,21405144,19934808,568519,901817,5329357,4600377,5115837,4507139,4009414,1684631,15000,872437,96942,2548,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,12.3,64838,74.2,86009,139.6,140000,13.2,Bergen
3,4610,27424803,14632467,13565946,268381,798140,5925202,4919531,3071076,2320557,3012493,1707584,0,721799,28000,1721,Saddle Brook Twp,Bergen,E. K-12 / 0 - 1800,3,DE,,1,11.9,65365,50.3,70365,132.3,126000,13.8,Bergen
3,4620,4253370,2033270,1956740,23131,53399,1478896,1284696,299298,233842,425058,234652,0,7535,3988,146,Saddle River Boro,Bergen,A. K-6,1,J,,1,8.9,74718,47.4,66712,37.7,112406,5,Bergen
3,4870,4887814,2888894,2628740,74847,185307,741944,363935,409973,314604,720149,419680,22422,98637,0,293,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,2,CD,,1,13.8,73033,110.8,44172,90,132499,7.3,Bergen
3,5150,70560916,44272838,40499666,1669202,2103970,11466810,7481016,6225193,4714744,7258665,2070765,0,1327786,484704,3554,Teaneck Twp,Bergen,G. K-12 / 3501 +,3,GH,,1,10,83000,67.6,86000,135.6,135042,15.6,Bergen
3,5160,60358204,35725399,33461655,1129417,1134327,10320364,7840067,7405257,6791047,5374252,3333050,31438,1470760,41502,3685,Tenafly Boro,Bergen,G. K-12 / 3501 +,3,I,,1,11.7,76074,77.6,82074,142.8,151554,14,Bergen
3,5330,20700600,12232468,11401270,754292,76906,3226019,2824805,2347369,1937296,2751206,1453845,0,143537,211569,1165,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,2,J,,1,10.6,61680,71,70680,116.4,142796,12.6,Bergen
3,5410,25282121,15761349,15194955,475754,90640,3395773,3169937,3237729,2851269,2079511,1225514,0,775025,116736,1586,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,10.7,68383,74.5,72895,124.3,129765,13.3,Bergen
3,5430,15067364,8576848,8325993,250855,0,2366538,2189615,1746498,1572843,1712780,322055,0,664700,176503,1268,Wallington Boro,Bergen,E. K-12 / 0 - 1800,3,B,,1,14.3,56950,85.5,69850,112.7,125193,9.2,Bergen
3,5755,46514593,25900029,24649588,1088134,162307,9694427,7767091,5168234,4475401,4372136,2519721,0,1323204,208154,2795,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,11.1,66780,60,66830,147.2,123327,15.7,Bergen
3,5830,15918585,8955533,8620376,256089,79068,2526028,1845041,2315217,1968194,1635022,1114272,0,475137,0,1236,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,12.7,60965,108.6,55965,156.1,116963,13.7,Bergen
3,5880,13842453,7789739,7410394,268313,111032,2551583,2200104,1610361,1380531,1778681,472417,0,108395,81701,737,Woodcliff Lake Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,9.2,64355,57.9,74655,122.5,145752,15.5,Bergen
3,5920,34179065,19805971,18854251,735478,216242,6822407,5504919,3863994,3475955,3499406,672585,68112,116321,148478,1968,Wyckoff Twp,Bergen,D. K-8 / 751 +,2,I,,1,10.9,71953,58.8,94703,163.8,164133,17.9,Bergen
5,200,2230225,1393788,1244302,37923,111563,321211,232823,261533,172428,230065,127635,0,23627,0,111,Bass River Twp,Burlington,A. K-6,1,CD,,1,7.8,60434,59.4,52339,107,130000,15.6,Burlington
5,380,4905497,2749063,2572313,87828,88922,989377,793774,509501,433443,629674,152065,0,17700,18518,293,Beverly City,Burlington,B. K-8 / 0 - 400,2,B,,1,10.6,54333,72.8,65611,55.4,67758,5.9,Burlington
5,475,33501697,17457075,16536769,695211,225095,6734911,4539881,3560263,2931679,4447527,2643402,0,963359,227376,2561,Bordentown Regional,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,13.7,66930,65.9,75672,166.9,119212,14.7,Burlington
5,600,30436502,17163484,15423801,572605,1167078,5695806,5070692,3245248,2698201,3417217,1576052,0,834833,54131,1671,Burlington City,Burlington,E. K-12 / 0 - 1800,3,B,1,1,9.8,64997,49.9,61129,107.6,108972,13.1,Burlington
5,605,38756143,21850219,20817182,308396,724641,7124436,6630715,4100186,2642800,4080879,1978079,1157385,333990,116761,634,Burlington Co Spec Serv,Burlington,I. CSSD,7,,,1,4.4,67792,5.9,69238,34.1,97473,13.5,Burlington
5,610,31591300,15768753,14164983,693627,910143,4011373,3292227,4645051,2917076,5591249,2027669,100000,1393883,421818,1981,Burlington Co Vocational,Burlington,J. VOC,8,,,1,14.4,61658,101.2,69031,157.5,136629,12.5,Burlington
5,620,53958317,34323209,30353297,626767,3343145,8502017,5333811,4911101,3428174,5294233,585446,0,927757,1167047,3819,Burlington Twp,Burlington,G. K-12 / 3501 +,3,FG,,1,11.5,68735,85.3,78048,180.8,130000,17.9,Burlington
5,830,10230896,5195938,4944200,220885,30853,1820405,1147033,1060205,790684,986448,645554,0,2322,0,755,Chesterfield Twp,Burlington,A. K-6,1,GH,,1,12.9,59570,97.9,59251,150.8,106644,13.2,Burlington
5,840,38322145,21667666,20716733,674237,276696,6097214,5505463,4309265,3781249,4096223,1926238,0,1741980,66293,2493,Cinnaminson Twp,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,11.5,69873,90.7,75539,133.6,112417,13.1,Burlington
5,1030,5977163,3322576,3090851,122682,109043,1133579,845700,735344,473743,715355,451539,0,51153,46818,397,Delanco Twp,Burlington,C. K-8 / 401 - 750,2,CD,,1,13.1,55002,62.7,84036,114.6,92834,10.6,Burlington
