CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,3960,46463139,25951730,23398444,528328,2024958,7805161,6565104,4190749,3447112,5886507,2921947,0,2606003,91900,12.2,92000,65.4,94875,98.4,161521,9.6,2019,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen
3,4300,45562643,23757269,21957004,754786,1045479,7026806,6219313,4976518,4023298,6317429,2853279,0,3405089,230000,10.9,68699,81.5,71287,95,131791,9.9,2289,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen
3,4310,56753728,34073474,33060047,738904,274523,10049922,7356424,4613280,3458842,6247213,3430250,50000,1671476,5000,10.9,87340,66.4,89070,142,148506,15.1,2679,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen
3,4370,37040696,21643054,20727014,401695,514345,8136062,7742546,3516307,2760680,2885368,1403518,0,754620,0,10.6,74406,44.9,98953,105.6,119404,12.3,1656,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen
3,4380,34486436,20956196,19038494,553807,1363895,5162796,4628446,3668404,2599385,3263612,735191,0,1080003,0,12.4,77046,71.4,91951,139.6,122446,13.2,2274,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen
3,4390,91473585,53514507,50697427,1560360,1256720,17884442,13990469,8297711,7126758,9972029,642291,0,1675519,25000,13.8,84980,80.3,95663,183.1,161849,15.5,5734,Ridgewood Village,Bergen,G. K-12 / 3501 +,3,J,,1,Bergen
3,4405,29635420,17540625,16461051,441234,638340,4152742,3654062,3657593,3217663,2849231,1533380,0,1423163,0,11.4,91229,79,104595,131.6,153765,13.2,1666,River Dell Regional,Bergen,H. 7-12 / 9-12,4,I,,1,Bergen
3,4410,17624061,11561943,11014555,250356,297032,2396579,2259802,2089381,1878456,1528691,903718,0,33363,0,13.1,64587,81.8,82327,151.5,154869,13.4,1255,River Edge Boro,Bergen,A. K-6,1,I,,1,Bergen
3,4430,20949169,12545470,11629368,521706,394396,3339731,2678053,2553415,2225796,2336119,1263780,0,174434,0,11.5,83480,82.7,69640,154.2,127343,15.2,1138,River Vale Twp,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,4470,8752208,5748354,5364771,304669,78914,1169111,780190,935455,537888,831136,498081,0,68151,0,11.9,81281,74,62080,86.7,105000,8.5,465,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen
3,4600,38993405,22419834,20912789,590511,916534,5803988,4955529,5394479,4616715,4177219,1752569,0,1092745,82350,12.4,68407,74.6,90227,146.6,143186,13.8,2624,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen
3,4610,28414242,15020543,14304716,261215,454612,6114976,5217659,3377150,2595600,3078294,1741822,0,756973,153700,11.6,64365,50.8,69865,145.7,134073,15.4,1760,Saddle Brook Twp,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen
3,4620,4491059,2103388,2004328,39260,59800,1572830,1303945,301896,238612,503013,274598,0,0,0,8.8,74718,49.1,66712,43.8,120018,5.9,154,Saddle River Boro,Bergen,A. K-6,1,J,,1,Bergen
3,4870,5332093,3003694,2708594,72350,222750,1002296,624419,414705,335023,761006,459730,14348,112100,0,11.7,74635,83.6,90749,124.9,133657,12.2,285,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,2,CD,,1,Bergen
3,5150,76847180,47933731,43327017,2441427,2165287,13291732,8609001,6692691,5034002,7463283,2220756,0,1453616,0,10,80000,67.5,92700,125.8,132587,14.4,3939,Teaneck Twp,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen
3,5160,63982967,38223337,35213449,1541725,1468163,10582016,8174941,7514685,6805710,6089209,3534527,0,1534670,0,12,82734,84.2,85034,164.9,153114,15.7,3619,Tenafly Boro,Bergen,G. K-12 / 3501 +,3,I,,1,Bergen
3,5330,22350210,13115358,12046920,1006238,62200,3828810,3299087,2479540,1964290,2754050,1620300,0,172452,94000,10.3,63800,54.5,74704,111.7,147437,12.9,1148,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,2,J,,1,Bergen
3,5410,27015947,16773366,16143699,458350,171317,3472512,3175337,3550657,3134218,2348985,1325920,0,828148,582000,11.1,67360,76.3,72895,140,133832,14.4,1581,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen
