GROUP,CONAME,DIST,DISTNAME,EX121,EX221
E. K-12 / 0 - 1800,Middlesex,4830,South Amboy City,340879,258023
E. K-12 / 0 - 1800,Middlesex,4970,Spotswood Boro,1145054,3230035
E. K-12 / 0 - 1800,Monmouth,100,Asbury Park City,1378127,0
E. K-12 / 0 - 1800,Monmouth,2400,Keansburg Boro,2648904,1899000
E. K-12 / 0 - 1800,Monmouth,2430,Keyport Boro,1400000,1075000
E. K-12 / 0 - 1800,Monmouth,2930,Manasquan Boro,0,491089
E. K-12 / 0 - 1800,Morris,450,Boonton Town,0,0
E. K-12 / 0 - 1800,Morris,630,Butler Boro,2881671,1692369
E. K-12 / 0 - 1800,Morris,2460,Kinnelon Boro,190751,0
E. K-12 / 0 - 1800,Morris,3460,Mountain Lakes Boro,96716,0
E. K-12 / 0 - 1800,Ocean,4190,Plumsted Twp,414664,0
E. K-12 / 0 - 1800,Ocean,4220,Point Pleasant Beach Boro,399786,675985
E. K-12 / 0 - 1800,Passaic,4230,Pompton Lakes Boro,693408,1126900
E. K-12 / 0 - 1800,Salem,4075,Pennsville,2357620,0
E. K-12 / 0 - 1800,Salem,4150,Pittsgrove Twp,352651,676615
E. K-12 / 0 - 1800,Salem,4630,Salem City,0,426849
E. K-12 / 0 - 1800,Salem,5910,Woodstown-Pilesgrove Reg,809119,732597
E. K-12 / 0 - 1800,Somerset,3000,Manville Boro,370000,0
E. K-12 / 0 - 1800,Somerset,4815,Somerset Hills Regional,1491411,0
E. K-12 / 0 - 1800,Sussex,2240,Hopatcong,1579702,608775
E. K-12 / 0 - 1800,Sussex,3590,Newton Town,0,0
E. K-12 / 0 - 1800,Union,2420,Kenilworth Boro,0,393593
E. K-12 / 0 - 1800,Warren,280,Belvidere Town,0,0
F. K-12 / 1801 - 3500,Atlantic,1960,Hammonton Town,504173,0
F. K-12 / 1801 - 3500,Bergen,890,Cliffside Park Boro,1028488,1039416
F. K-12 / 1801 - 3500,Bergen,1130,Dumont Boro,422641,336131
F. K-12 / 1801 - 3500,Bergen,1345,Elmwood Park,1100000,1464856
F. K-12 / 1801 - 3500,Bergen,1370,Englewood City,2727412,1857957
F. K-12 / 1801 - 3500,Bergen,1760,Glen Rock Boro,1798759,1521184
F. K-12 / 1801 - 3500,Bergen,2620,Leonia Boro,600000,0
F. K-12 / 1801 - 3500,Bergen,2740,Lodi Borough,4382860,3870457
F. K-12 / 1801 - 3500,Bergen,2860,Lyndhurst Twp,0,0
F. K-12 / 1801 - 3500,Bergen,2900,Mahwah Twp,688430,1183574
F. K-12 / 1801 - 3500,Bergen,3550,New Milford Boro,1567844,1434920
F. K-12 / 1801 - 3500,Bergen,3600,North Arlington Boro,4296046,3975035
F. K-12 / 1801 - 3500,Bergen,4310,Ramsey Boro,2400147,2322607
F. K-12 / 1801 - 3500,Bergen,4380,Ridgefield Park Twp,0,0
F. K-12 / 1801 - 3500,Bergen,4600,Rutherford Boro,500000,500000
F. K-12 / 1801 - 3500,Bergen,5160,Tenafly Boro,0,0
F. K-12 / 1801 - 3500,Bergen,5755,Westwood Regional,1000000,1500000
F. K-12 / 1801 - 3500,Burlington,475,Bordentown Regional,267141,0
F. K-12 / 1801 - 3500,Burlington,600,Burlington City,2645399,3493326
F. K-12 / 1801 - 3500,Burlington,840,Cinnaminson Twp,3248651,3223447
F. K-12 / 1801 - 3500,Burlington,1060,Delran Twp,0,407809
F. K-12 / 1801 - 3500,Burlington,3010,Maple Shade Twp,334332,0
F. K-12 / 1801 - 3500,Camden,940,Collingswood Boro,816017,0
F. K-12 / 1801 - 3500,Camden,1770,Gloucester City,2204891,3245156
F. K-12 / 1801 - 3500,Camden,1890,Haddon Twp,385832,446754
F. K-12 / 1801 - 3500,Camden,1900,Haddonfield Boro,0,0
F. K-12 / 1801 - 3500,Camden,2670,Lindenwold Boro,0,0
F. K-12 / 1801 - 3500,Camden,4110,Pine Hill Boro,0,1033319
F. K-12 / 1801 - 3500,Cape May,3130,Middle Twp,894527,901152
F. K-12 / 1801 - 3500,Cape May,3780,Ocean City,881413,959733
F. K-12 / 1801 - 3500,Essex,660,Caldwell-West Caldwell,1727363,1286895
