CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP22,TOTENR2A,PP22
Burlington,Burlington Co Spec Serv,605,88080.580055,572.59783901,409.1843044,1712.3534095,820.67139534,95.480066174,49266012.27,537.30555556,91691
Burlington,Burlington Co Vocational,610,21515.126028,518.29140419,1717.1085302,551.13764978,1269.0521271,781.08998743,54870169.08,2082.2166667,26352
Burlington,Burlington Twp,620,22109.200829,338.62218268,1318.8100502,498.58952602,828.45990845,479.77654041,92927983,3633.7666667,25573
Burlington,Chesterfield Twp,830,21858.002517,30.272701846,442.48042141,450.26431102,3221.9205668,0.4467555473,18594155.46,715.06666667,26003
Burlington,Cinnaminson Twp,840,21573.251718,164.14857537,904.76340751,386.75589894,989.39913307,1.2551898,66218362.37,2756.85,24020
Burlington,Delanco Twp,1030,22008.9706,175.29771274,1555.3444431,545.81466844,1108.4160276,602.64021025,12828905.62,493.48618785,25996
Burlington,Delran Twp,1060,21181.297467,896.18304758,1189.6806251,505.26401826,803.88996111,75.988492367,71884610.8,2915.9388889,24652
Burlington,Eastampton Twp,1250,20938.778057,198.8165044,1581.9397296,528.69181006,1335.1353968,1788.0453972,14627753.17,554.68232044,26371
Burlington,Edgewater Park Twp,1280,20613.327477,157.29034748,1890.3852579,561.56256189,920.85419914,58.856032255,26479037.75,1094.0722222,24202
Burlington,Evesham Twp,1420,21075.665098,104.50113816,951.10930854,400.4700911,0,35.795786797,98920555.07,4383.3111111,22568
Burlington,Florence Twp,1520,20647.87651,499.49352074,1448.8400925,590.38839842,1378.7110074,491.63123408,38962568.45,1554.9611111,25057
Burlington,Hainesport Twp,1910,21405.229281,125.79351427,1026.1880843,423.02503662,966.60801526,531.71983368,13834604.28,565.17222222,24479
Burlington,Lenape Regional,2610,26331.992151,520.97228275,1008.007052,413.46125785,1103.5475397,457.2104599,199692401.43,6693.1833333,29835
Burlington,Lumberton Twp,2850,22390.627051,971.69632061,1726.3162895,706.10640871,908.79944723,470.80168423,31462459.19,1157.8,27174
Burlington,Mansfield Twp,2960,26381.179908,101.33634907,676.79012346,450.81707662,2314.7676939,890.40299689,16349054.31,530.55,30815
Burlington,Maple Shade Twp,3010,21355.431758,290.18355514,2467.6810305,607.38805401,1543.6833044,330.34243861,63935308.41,2404.0611111,26595
Burlington,Medford Lakes Boro,3070,20134.711625,110.98752634,464.80332631,18.007176625,1312.8507148,392.21344877,10940729.32,487.69444444,22434
Burlington,Medford Twp,3080,23593.116565,611.58313262,565.40199564,443.79630692,847.19195626,367.21681385,69128522.02,2615.7,26428
Burlington,Moorestown Twp,3360,23809.219224,381.61639029,903.62160385,475.10394546,1303.2748434,532.18450169,106407486.87,3882.7734807,27405
Burlington,Mount Holly Twp,3430,21757.989505,1122.351564,3096.7751037,550.12731302,465.17115972,1115.9902212,31216101.34,1110.5611111,28108
Burlington,Mount Laurel Twp,3440,21024.632197,156.79552872,673.29196497,296.79656227,780.66949964,213.18500801,97041210.23,4192.6833333,23145
Burlington,New Hanover Twp,3540,25545.108948,53.685674548,1383.2313398,703.52804822,0,1182.569541,6226854.25,215.7,28868
Burlington,North Hanover Twp,3650,21189.761936,4444.477711,3961.3469143,758.65981093,0,0,39618531,1305.2055556,30354
Burlington,Northern Burlington Reg,3690,21297.955688,1166.6772292,991.56028549,467.10628608,1577.76867,424.54022599,56544039.95,2181.0111111,25926
Burlington,Palmyra Boro,3920,21296.984175,13.272235577,1433.9633413,647.96875,674.70452724,19.753936298,24048108.33,998.4,24087
Burlington,Pemberton Twp,4050,26565.353223,975.68419776,3709.9876736,622.38005701,0,2330.947371,142597755.64,4168.9944444,34204
Burlington,Rancocas Valley Regional,4320,21458.937986,63.172675321,1432.5359392,400.09170103,1295.2109681,0,51640959,2094.9722222,24650
Burlington,Riverside Twp,4450,19830.471283,410.21574509,2404.9061591,569.26456613,508.66543921,560.70533201,36344316.06,1496.6222222,24284
Burlington,Riverton,4460,20500.887709,241.69322921,1266.9221321,230.28918038,0,248.82741982,8238955.69,366.36111111,22489
Burlington,Shamong Twp,4740,23443.122734,440.98569157,1314.2532591,471.93767886,261.42782194,483.25950715,18461140.7,698.88888889,26415
Burlington,Southampton Township School Distric,4930,23783.90532,162.70057041,857.01869638,427.934646,853.19263636,760.72900964,18614726.48,693.40260896,26845
Burlington,Springfield Twp,5010,19256.40604,39.657014851,1323.7298598,506.04579773,1085.0969883,898.94544927,6055291.25,262.02173913,23110
Burlington,Tabernacle Twp,5130,21548.018806,347.91298458,1006.7148492,498.78481214,1052.4854377,495.8140914,17394813.83,697.19444444,24950
Burlington,Washington Twp,5490,24762.151515,285.45454545,0,0,0,1950.7425758,1781891.01,66,26998
Burlington,Westampton,5720,20551.511778,47.342113193,614.26059521,846.76391868,536.00864988,310.71952426,21538700.39,940.28333333,22907
Burlington,Willingboro Twp,5805,22098.306141,225.49227256,1789.2431821,822.13128184,474.32503307,1039.0249429,96319789.72,3641.7833333,26449
Burlington,Woodland Twp,5890,33354.46838,0,1993.3795457,11.603924496,0,0,3684062,104.18888889,35359
Burlington,Riverbank Charter School Of Excelle,6026,14410.239948,6702.9507134,1302.846952,225.9079118,0,0,3491388,154.2,22642
Burlington,Benjamin Banneker Prep Cs,6076,19635.250779,2002.6693114,2394.1513177,0,0,0,8480918,352.9,24032
Camden,Audubon Public School Disrict,150,21691.879759,115.85262951,1029.1860636,477.39115774,646.286781,470.55084918,34785705.59,1423.8261203,24431
Camden,Barrington Boro,190,22073.426025,681.02524293,1069.8832809,365.93479255,560.41808176,398.22641428,20157972.17,801.54444444,25149
Camden,Bellmawr Boro,260,19090.906997,139.09746444,2988.8549428,647.57943723,194.90536618,143.16222515,26870173.88,1157.9722222,23205
Camden,Berlin Boro,330,17761.589878,1174.8969037,1166.2000512,337.37000175,659.99111123,302.23329921,17657119.83,825.01111111,21402
Camden,Berlin Twp,340,23055.488957,135.33129194,1172.9480748,323.66668838,400.28666363,307.99351098,19489941.62,767.45,25396
Camden,Black Horse Pike Regional,390,24503.421019,863.41667165,1337.7423369,372.41387131,0,90.808942831,95830198.42,3527.3444444,27168
Camden,Brooklawn Boro,580,19128.47181,74.477002967,3035.9365727,615.68156528,408.76669139,482.70945846,8535910.96,359.46666667,23746
Camden,Camden City,680,23273.7709,18.839748775,13087.083409,1341.2223914,0,5830.7344973,305108349.31,7005.6666667,43552
Camden,Camden County Vocational,700,22806.812829,1998.4703518,2335.6093864,540.89642203,0,569.45455365,61832138.81,2188.6519337,28251
Camden,Cherry Hill Twp,800,22705.866403,781.9405789,828.48994016,496.75999976,0,158.83678632,269456063.27,10790.373626,24972
Camden,Clementon Boro,880,20763.519026,53.278538813,2188.0395738,467.6499239,0,360.16974125,15658055.52,657,23833
Camden,Collingswood Boro,940,20005.274543,169.56935047,1891.0798239,528.48035562,553.94502793,577.3716435,53742034.52,2265.1381215,23726
Camden,Eastern Camden County Reg,1255,21230.157891,910.45579593,1249.8269988,460.9239949,0,63.345769418,48416388.31,2024.5441989,23915
Camden,Gibbsboro Boro,1720,20679.099086,253.90876115,1389.2244513,327.1412444,768.63456342,667.84319651,7150851.04,296.89010989,24086
Camden,Gloucester City,1770,18305.785874,439.31419467,4237.1788692,665.41672354,376.31969442,4602.7424151,72066202.02,2517.441989,28627
Camden,Gloucester Twp,1780,20026.875393,263.52880352,1240.3917583,479.90988323,172.65865629,94.707431037,146267918.9,6565.5555556,22278
Camden,Kipp Cooper Norcross,1799,14586.455211,1708.4612796,4492.4327063,893.49854788,2239.2906128,0,45208546,1889.9784493,23920
Camden,Camden Prep,1801,17958.855841,238.07720602,4514.9042807,0,0,0,25115916,1105.8513514,22712
