CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
3,5830,18824520,11009960,10599362,257090,153508,2830217,2232266,2587037,2204046,1810553,1087448,0,577548,43693,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,31,FG,,1,1175.7,Bergen,
3,5880,14940894,8922788,8367184,416856,138748,2326909,2023494,1836282,1576636,1742454,554836,0,108790,139008,Woodcliff Lake Boro,Bergen,C. K-8 / 401 - 750,22,J,,1,741,Bergen,
3,5920,38032119,21891968,20720865,965835,205268,7622246,6064671,4269336,3872050,4097544,725404,35000,112960,29283,Wyckoff Twp,Bergen,D. K-8 / 751 +,23,I,,1,2003.2,Bergen,
5,380,5855302,3336584,3060365,165550,110669,1364143,1155311,491181,400566,639134,277157,0,8600,13403,Beverly City,Burlington,B. K-8 / 0 - 400,21,B,,1,343,Burlington,
5,475,40187667,21626026,19837935,1082659,705432,7074042,5441165,4270677,3514738,5393939,3052124,0,1206312,999508,Bordentown Regional,Burlington,F. K-12 / 1801 - 3500,32,FG,,1,2122.8,Burlington,
5,600,34302487,19342478,17519965,484978,1337535,6468735,5702102,3573205,2871320,3984054,1724916,0,837185,378274,Burlington City,Burlington,E. K-12 / 0 - 1800,31,B,1,1,1811.7,Burlington,
5,605,38363698,20847655,19142061,229805,1475789,8485403,7661668,3320949,1753741,4432242,1923892,837137,362205,198033,Burlington Co Spec Serv,Burlington,I. CSSD,7,,,1,537.1,Burlington,
5,610,36226716,18490870,17315267,592291,583312,4485862,3917177,4601608,2810993,6683323,2474829,136000,1744654,511121,Burlington Co Vocational,Burlington,J. County Voc,8,,,1,2008.6,Burlington,
5,620,63932123,28848880,26000390,813694,2034796,12757316,6368361,14787671,13086832,6330223,616387,0,1193319,1100596,Burlington Twp,Burlington,G. K-12 / 3501 +,33,FG,,1,3577.8,Burlington,
5,830,12116901,6550913,6002509,360767,187637,2906313,1660766,1289933,1022446,1308344,840109,0,30172,156908,Chesterfield Twp,Burlington,A. K-6,1,GH,,1,718.8,Burlington,
5,840,46369024,26680170,25456517,885485,338168,7455824,6712747,4787670,4066172,5129695,2250670,0,1841761,227277,Cinnaminson Twp,Burlington,F. K-12 / 1801 - 3500,32,FG,,1,2839.7,Burlington,
5,1030,5738693,2945779,2809094,13553,123132,1352890,554453,758396,552863,641609,399542,0,30973,12031,Delanco Twp,Burlington,B. K-8 / 0 - 400,21,CD,,1,360,Burlington,
5,1060,47663180,29263867,27846134,713943,703790,8639446,6307705,3649766,3091971,4861257,1106122,0,1212103,139960,Delran Twp,Burlington,F. K-12 / 1801 - 3500,32,FG,,1,2844.5,Burlington,
5,1250,9013988,5403919,4890769,119548,393602,1693659,1144839,1061395,911564,774040,175297,0,80974,16570,Eastampton Twp,Burlington,C. K-8 / 401 - 750,22,FG,,1,611.7,Burlington,
5,1280,15423205,9676529,8439892,294244,942393,2586177,2080875,1625545,1204835,1388370,805387,0,110591,74112,Edgewater Park Twp,Burlington,D. K-8 / 751 +,23,DE,,1,944.1,Burlington,
5,1420,67961799,41089986,40135595,379881,574510,12591429,10395188,5594993,4798821,7470024,4693758,0,639384,174018,Evesham Twp,Burlington,D. K-8 / 751 +,23,I,,1,4374.5,Burlington,
5,1520,24614960,13299168,12491184,315721,492263,4754223,2747916,3144636,2253904,2806013,1156769,20000,590886,162228,Florence Twp,Burlington,E. K-12 / 0 - 1800,31,DE,,1,1509.1,Burlington,
